Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2015-01-26,2057.62,2057.09,2040.97,2050.42,
2015-01-27,2047.86,2029.55,2019.91,2047.86,
2015-01-28,2042.49,2002.16,2001.49,2032.34,
2015-01-29,2024.64,2021.25,1989.18,2002.45,
2015-01-30,2023.32,1994.99,1993.38,2019.35,
2015-02-02,2021.66,2020.85,1980.9,1996.67,
2015-02-03,2050.3,2050.03,2022.71,2022.71,
2015-02-04,2054.74,2041.51,2036.72,2048.86,
2015-02-05,2063.55,2062.52,2043.45,2043.45,
2015-02-06,2072.4,2055.47,2049.97,2062.28,
2015-02-09,2056.16,2046.74,2041.88,2053.47,
2015-02-10,2070.86,2068.59,2048.62,2049.38,
2015-02-11,2073.48,2068.53,2057.99,2068.55,
2015-02-12,2088.53,2088.48,2069.98,2069.98,
2015-02-13,2097.03,2096.99,2086.7,2088.78,
2015-02-17,2101.3,2100.34,2089.8,2096.47,
2015-02-18,2100.23,2099.68,2092.15,2099.16,
2015-02-19,2102.13,2097.45,2090.79,2099.25,
2015-02-20,2110.61,2110.3,2085.44,2097.65,
2015-02-23,2110.05,2109.66,2103.0,2109.83,
2015-02-24,2117.94,2115.48,2105.87,2109.1,
2015-02-25,2119.59,2113.86,2109.89,2115.3,
2015-02-26,2113.91,2110.74,2103.76,2113.91,
2015-02-27,2112.74,2104.5,2103.75,2110.88,
2015-03-02,2117.52,2117.39,2104.5,2105.23,
2015-03-03,2115.76,2107.78,2098.26,2115.76,
2015-03-04,2107.72,2098.53,2087.62,2107.72,
2015-03-05,2104.25,2101.04,2095.22,2098.54,
2015-03-06,2100.91,2071.26,2067.27,2100.91,
2015-03-09,2083.49,2079.43,2072.21,2072.25,
2015-03-10,2076.14,2044.16,2044.16,2076.14,
2015-03-11,2050.08,2040.24,2039.69,2044.69,
2015-03-12,2066.41,2065.95,2041.1,2041.1,
2015-03-13,2064.56,2053.4,2041.17,2064.56,
2015-03-16,2081.41,2081.19,2055.35,2055.35,
2015-03-17,2080.59,2074.28,2065.08,2080.59,
2015-03-18,2106.85,2099.5,2061.23,2072.84,
2015-03-19,2098.69,2089.27,2085.56,2098.69,
2015-03-20,2113.92,2108.1,2090.32,2090.32,
2015-03-23,2114.86,2104.42,2104.42,2107.99,
2015-03-24,2107.63,2091.5,2091.5,2103.94,
2015-03-25,2097.43,2061.05,2061.05,2093.1,
2015-03-26,2067.15,2056.15,2045.5,2059.94,
2015-03-27,2062.83,2061.02,2052.96,2055.78,
2015-03-30,2088.97,2086.24,2064.11,2064.11,
2015-03-31,2084.05,2067.89,2067.04,2084.05,
2015-04-01,2067.63,2059.69,2048.38,2067.63,
2015-04-02,2072.17,2066.96,2057.32,2060.03,
2015-04-06,2086.99,2080.62,2056.52,2064.87,
2015-04-07,2089.81,2076.33,2076.1,2080.79,
2015-04-08,2086.69,2081.9,2073.3,2076.94,
2015-04-09,2093.31,2091.18,2074.29,2081.29,
2015-04-10,2102.61,2102.06,2091.51,2091.51,
2015-04-13,2107.65,2092.43,2092.33,2102.03,
2015-04-14,2098.62,2095.84,2083.24,2092.28,
2015-04-15,2111.91,2106.63,2097.82,2097.82,
2015-04-16,2111.3,2104.99,2100.02,2105.96,
2015-04-17,2102.58,2081.18,2072.37,2102.58,
2015-04-20,2103.94,2100.4,2084.11,2084.11,
2015-04-21,2109.64,2097.29,2094.38,2102.82,
2015-04-22,2109.98,2107.96,2091.05,2098.27,
2015-04-23,2120.49,2112.93,2103.19,2107.21,
2015-04-24,2120.92,2117.69,2112.8,2112.8,
2015-04-27,2125.92,2108.92,2107.04,2119.29,
2015-04-28,2116.09,2114.76,2094.89,2108.35,
2015-04-29,2113.65,2106.85,2097.41,2112.49,
2015-04-30,2105.52,2085.51,2077.59,2105.52,
2015-05-01,2108.41,2108.29,2087.38,2087.38,
2015-05-04,2120.95,2114.49,2110.23,2110.23,
2015-05-05,2115.24,2089.46,2088.46,2112.63,
2015-05-06,2098.42,2080.15,2067.93,2091.26,
2015-05-07,2092.9,2088.0,2074.99,2079.96,
2015-05-08,2117.66,2116.1,2092.13,2092.13,
2015-05-11,2117.69,2105.33,2104.58,2115.56,
2015-05-12,2105.06,2099.12,2085.57,2102.87,
2015-05-13,2110.19,2098.48,2096.04,2099.62,
2015-05-14,2121.45,2121.1,2100.43,2100.43,
2015-05-15,2123.89,2122.73,2116.79,2122.07,
2015-05-18,2131.78,2129.2,2120.01,2121.3,
2015-05-19,2133.02,2127.83,2124.5,2129.45,
2015-05-20,2134.72,2125.85,2122.59,2127.79,
2015-05-21,2134.28,2130.82,2122.95,2125.55,
2015-05-22,2132.15,2126.06,2126.06,2130.36,
2015-05-26,2125.34,2104.2,2099.18,2125.34,
2015-05-27,2126.22,2123.48,2105.13,2105.13,
2015-05-28,2122.27,2120.79,2112.86,2122.27,
2015-05-29,2120.66,2107.39,2104.89,2120.66,
2015-06-01,2119.15,2111.73,2102.54,2108.64,
